MUNICIPI_CODI,"('No vacunat', 1, 'Total')","('No vacunat', 2, 'Total')","('No vacunat', 3, 'Total')","('vacunat', 1, 'Total')","('vacunat', 2, 'Total')","('vacunat', 3, 'Total')",Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
17001,0.0289193302891933,0.01652892561983471,0.02631578947368421,0.9710806697108066,0.9834710743801653,0.9736842105263158,Agullana,70.0,283.0,92.0,65.0,279.0,96.0,135.0,562.0,188.0,885.0,445.0,440.0,0.15254237288135594,0.6350282485875707,0.21242937853107344,0.15730337078651685,0.6359550561797753,0.20674157303370785,0.14772727272727273,0.634090909090909,0.21818181818181817
17002,0.025682182985553772,0.01592920353982301,0.030405405405405407,0.9743178170144462,0.984070796460177,0.9695945945945946,Aiguaviva,77.0,260.0,58.0,65.0,267.0,62.0,142.0,527.0,120.0,789.0,395.0,394.0,0.17997465145754118,0.6679340937896071,0.1520912547528517,0.1949367088607595,0.6582278481012658,0.1468354430379747,0.1649746192893401,0.6776649746192893,0.15736040609137056
17004,0.04047217537942664,0.005714285714285714,0.009933774834437087,0.9595278246205734,0.9942857142857143,0.9900662251655629,Albons,47.0,271.0,89.0,57.0,254.0,80.0,104.0,525.0,169.0,798.0,407.0,391.0,0.13032581453634084,0.6578947368421053,0.21177944862155387,0.11547911547911548,0.6658476658476659,0.21867321867321868,0.14578005115089515,0.649616368286445,0.20460358056265984
17005,0.01761252446183953,0.00425531914893617,0.007194244604316547,0.9823874755381604,0.9957446808510638,0.9928057553956835,"Far d'Empordà, el",53.0,216.0,49.0,51.0,187.0,63.0,104.0,403.0,112.0,619.0,318.0,301.0,0.1680129240710824,0.6510500807754442,0.18093699515347333,0.16666666666666666,0.6792452830188679,0.1540880503144654,0.16943521594684385,0.6212624584717608,0.20930232558139536
17006,0.013710368466152529,0.01262135922330097,25,0.9862896315338475,0.987378640776699,975,Alp,103.0,626.0,120.0,82.0,581.0,133.0,185.0,1207.0,253.0,1645.0,849.0,796.0,0.11246200607902736,0.7337386018237082,0.15379939209726443,0.12131919905771496,0.7373380447585395,0.1413427561837456,0.10301507537688442,0.7298994974874372,0.1670854271356784
17007,0.045454545454545456,0.005011135857461025,0.008571428571428572,0.9545454545454546,0.994988864142539,0.9914285714285714,Amer,161.0,757.0,252.0,160.0,735.0,318.0,321.0,1492.0,570.0,2383.0,1170.0,1213.0,0.1347041544271926,0.6261015526647083,0.23919429290809904,0.13760683760683762,0.647008547008547,0.2153846153846154,0.13190436933223412,0.6059356966199505,0.26215993404781535
17008,0.027143738433066007,0.007816200852676456,0.014608233731739707,0.9728562615669339,0.9921837991473236,0.9853917662682603,Anglès,476.0,1903.0,471.0,457.0,1795.0,607.0,933.0,3698.0,1078.0,5709.0,2850.0,2859.0,0.16342616920651604,0.6477491679803818,0.18882466281310212,0.16701754385964912,0.667719298245614,0.16526315789473683,0.15984610003497726,0.627841902763204,0.21231199720181881
17009,0.03970722781335773,0.01508664627930683,0.028287461773700305,0.9602927721866422,0.9849133537206932,0.9717125382262997,Arbúcies,532.0,2252.0,571.0,521.0,1973.0,658.0,1053.0,4225.0,1229.0,6507.0,3355.0,3152.0,0.16182572614107885,0.6493007530351929,0.1888735208237283,0.1585692995529061,0.67123695976155,0.17019374068554396,0.16529187817258884,0.6259517766497462,0.20875634517766498
17010,0.07636363636363637,0.013333333333333334,0.0234375,0.9236363636363636,0.9866666666666667,0.9765625,Argelaguer,25.0,141.0,46.0,23.0,135.0,47.0,48.0,276.0,93.0,417.0,212.0,205.0,0.11510791366906475,0.6618705035971223,0.22302158273381295,0.1179245283018868,0.6650943396226415,0.2169811320754717,0.11219512195121951,0.6585365853658537,0.22926829268292684
17011,0.016795865633074936,0.0,0.0,0.9832041343669251,1.0,1.0,"Armentera, l'",86.0,326.0,91.0,87.0,309.0,99.0,173.0,635.0,190.0,998.0,503.0,495.0,0.17334669338677355,0.6362725450901804,0.1903807615230461,0.1709741550695825,0.6481113320079522,0.18091451292246521,0.17575757575757575,0.6242424242424243,0.2
