Població de 15 anys o més segons nivell de formació assolit. Per nivells agregats
Municipis. 2019 (p)
Unitats: %.
Font: Idescat. Estadística dels estudis de la població.
(p) Dada provisional.
"(..) Dada confidencial, amb baixa fiabilitat o no disponible."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=eep&n=14540&by=mun
Codi,Literal,Educació primària o inferior,Primera etapa d’educació secundària i similar,Segona etapa d’educació secundària i similar,Educació superior
250019,Abella de la Conca,23.3,26.4,17.0,33.3,
080018,Abrera,16.9,30.5,25.8,26.9,
250024,Àger,23.1,19.6,26.8,30.5,
250030,Agramunt,21.8,35.0,22.0,21.1,
080023,Aguilar de Segarra,17.6,27.0,20.2,35.2,
170010,Agullana,18.4,30.9,25.4,25.3,
080142,Aiguafreda,11.8,33.2,22.5,32.5,
430017,Aiguamúrcia,14.9,36.8,21.3,27.0,
170025,Aiguaviva,10.8,24.0,26.1,39.1,
250387,Aitona,30.5,37.7,17.6,14.2,
250045,"Alamús, els",11.6,37.5,24.5,26.4,
250058,Alàs i Cerc,18.5,27.5,27.2,26.8,
250061,"Albagés, l'",22.4,34.6,18.5,24.5,
170031,Albanyà,13.0,29.0,35.1,22.9,
250077,Albatàrrec,17.6,38.4,20.0,24.0,
250083,Albesa,24.4,36.5,19.7,19.5,
250096,"Albi, l'",18.6,40.3,18.5,22.6,
430022,Albinyana,17.0,41.6,24.2,17.2,
430038,"Albiol, l'",9.9,22.3,28.9,38.8,
170046,Albons,16.8,30.5,20.8,31.9,
430043,Alcanar,21.9,33.1,23.3,21.8,
250100,Alcanó,15.1,35.1,19.5,30.2,
250117,Alcarràs,24.6,38.4,17.3,19.7,
250122,Alcoletge,13.6,38.4,23.0,25.0,
430056,Alcover,17.3,36.1,20.9,25.6,
439044,"Aldea, l'",26.3,40.4,16.3,17.0,
430069,Aldover,29.7,31.9,19.3,19.0,
430075,"Aleixar, l'",18.8,32.2,20.2,28.8,
080039,Alella,11.8,16.1,25.2,46.9,
430081,Alfara de Carles,16.9,42.4,23.8,16.9,
250138,Alfarràs,26.0,40.8,15.4,17.7,
250143,Alfés,21.6,29.3,24.2,24.9,
430094,Alforja,18.1,33.9,25.4,22.6,
250156,Algerri,8.1,55.3,15.6,20.9,
250169,Alguaire,22.9,38.0,16.3,22.8,
250175,Alins,21.6,23.6,24.0,30.8,
430108,Alió,11.2,35.7,24.5,28.5,
250194,Almacelles,26.5,36.5,17.0,19.9,
