Indicadors dels estudis de la població de 25 a 64 anys. Per sexe
Municipis. 2019 (p)
Total
Unitats: %.
Font: Idescat. Estadística dels estudis de la població.
Nota: La població amb almenys segona etapa d'educació secundària inclou la població amb estudis de segona etapa de secundària i amb educació superior.
(p) Dada provisional.
"(..) Dada confidencial, amb baixa fiabilitat o no disponible."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=eep&n=14468&by=mun&col=3
Codi,Literal,Població de 25 a 64 anys amb només educació primària o inferior,Població de 25 a 64 anys amb almenys segona etapa d'educació secundària,Població de 25 a 64 anys amb educació superior
 250019,Abella de la Conca,7.8,66.7,48.0,
 080018,Abrera,6.4,63.3,35.5,
 250024,Àger,6.8,74.2,42.2,
 250030,Agramunt,12.8,50.3,27.8,
 080023,Aguilar de Segarra,3.8,67.5,47.8,
 170010,Agullana,8.3,62.4,32.8,
 080142,Aiguafreda,4.0,66.7,42.0,
 430017,Aiguamúrcia,6.2,60.7,35.3,
 170025,Aiguaviva,5.2,75.1,50.0,
 250387,Aitona,19.9,39.8,19.8,
 250045,"Alamús, els",8.8,61.1,34.7,
 250058,Alàs i Cerc,6.1,73.2,40.2,
 250061,"Albagés, l'",8.6,53.2,30.1,
 170031,Albanyà,7.4,62.1,29.5,
 250077,Albatàrrec,12.2,50.5,29.7,
 250083,Albesa,13.7,49.6,27.1,
 250096,"Albi, l'",6.7,53.1,31.0,
 430022,Albinyana,5.3,50.4,22.3,
 430038,"Albiol, l'",1.8,77.7,48.7,
 170046,Albons,10.7,61.8,40.9,
 430043,Alcanar,8.4,55.8,29.5,
 250100,Alcanó,2.5,68.9,45.1,
 250117,Alcarràs,18.2,41.9,24.2,
 250122,Alcoletge,8.5,55.0,31.0,
 430056,Alcover,6.5,54.2,33.0,
 439044,"Aldea, l'",16.3,41.0,23.3,
 430069,Aldover,10.3,52.4,28.2,
 430075,"Aleixar, l'",9.3,59.6,39.2,
 080039,Alella,5.3,82.8,60.0,
 430081,Alfara de Carles,5.4,55.4,22.5,
 250138,Alfarràs,15.4,42.0,25.3,
 250143,Alfés,6.0,65.3,34.7,
 430094,Alforja,7.7,56.8,29.3,
 250156,Algerri,3.6,55.2,34.4,
 250169,Alguaire,14.5,47.7,31.4,
 250175,Alins,3.4,83.4,49.0,
 430108,Alió,2.5,61.7,37.9,
 250194,Almacelles,17.6,44.5,25.7,
 250208,Almatret,17.1,48.2,26.8,
 250215,Almenar,12.5,46.8,30.2,
 430115,Almoster,3.0,76.6,53.0,
