Població de 25 a 64 anys. Per nivell de formació assolit i sexe
Municipis. 2019 (p)
Total
Unitats: Persones.
Font: Idescat. Estadística dels estudis de la població.
(p) Dada provisional.
"(..) Dada confidencial, amb baixa fiabilitat o no disponible."
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=eep&n=14791&by=mun&col=3
Codi,Literal,Educació primària o inferior,Primera etapa d’educació secundària i similar,Segona etapa d’educació secundària i similar,Educació superior,Total
 250019,Abella de la Conca,8,26,19,49,102,
 080018,Abrera,449,2143,1962,2503,7057,
 250024,Àger,22,62,104,137,325,
 250030,Agramunt,374,1080,659,813,2926,
 080023,Aguilar de Segarra,6,45,31,75,157,
 170010,Agullana,38,134,136,150,458,
 080142,Aiguafreda,54,401,337,574,1366,
 430017,Aiguamúrcia,31,165,127,176,499,
 170025,Aiguaviva,21,80,102,203,406,
 250387,Aitona,271,551,273,270,1365,
 250045,"Alamús, els",40,136,119,157,452,
 250058,Alàs i Cerc,10,34,54,66,164,
 250061,"Albagés, l'",16,71,43,56,186,
 170031,Albanyà,7,29,31,28,95,
 250077,Albatàrrec,167,508,284,405,1364,
 250083,Albesa,117,312,192,231,852,
 250096,"Albi, l'",25,149,82,115,371,
 430022,Albinyana,71,592,377,298,1338,
 430038,"Albiol, l'",5,56,79,133,273,
 170046,Albons,47,121,92,180,440,
 430043,Alcanar,439,1874,1380,1543,5236,
 250100,Alcanó,..,35,..,55,122,
 250117,Alcarràs,1032,2266,1010,1373,5681,
 250122,Alcoletge,177,762,501,647,2087,
 430056,Alcover,180,1092,588,915,2775,
 439044,"Aldea, l'",370,966,401,529,2266,
 430069,Aldover,44,160,104,121,429,
 430075,"Aleixar, l'",46,153,100,193,492,
 080039,Alella,277,625,1193,3139,5234,
 430081,Alfara de Carles,11,80,67,46,204,
 250138,Alfarràs,228,629,247,373,1477,
 250143,Alfés,10,48,51,58,167,
 430094,Alforja,81,375,290,309,1055,
 250156,Algerri,7,79,40,66,192,
 250169,Alguaire,239,621,268,516,1644,
 250175,Alins,5,19,50,71,145,
 430108,Alió,6,86,57,91,240,
 250194,Almacelles,671,1449,718,984,3822,
 250208,Almatret,28,57,35,44,164,
 250215,Almenar,233,759,310,563,1865,
 430115,Almoster,23,159,183,412,777,
 250220,Alòs de Balaguer,5,15,24,20,64,
 170062,Alp,58,234,282,443,1017,
 080044,Alpens,4,36,35,81,156,
 250236,Alpicat,168,756,724,1849,3497,
 250241,Alt Àneu,4,42,63,146,255,
 430120,Altafulla,172,568,537,1579,2856,
 170078,Amer,110,423,233,470,1236,
 430136,"Ametlla de Mar, l'",447,1290,819,948,3504,
 080057,"Ametlla del Vallès, l'",166,774,1184,2727,4851,
 439060,"Ampolla, l'",242,579,368,527,1716,
 430141,Amposta,958,4166,2634,3632,11390,
 170084,Anglès,582,1110,581,755,3028,
 250273,Anglesola,101,243,173,200,717,
 250292,Arbeca,116,407,249,375,1147,
 430167,"Arboç, l'",422,1210,702,660,2994,
 430154,Arbolí,..,..,30,47,89,
 170097,Arbúcies,676,1213,731,943,3563,
 080060,Arenys de Mar,552,2015,2536,3495,8598,
 080076,Arenys de Munt,366,1384,1225,1996,4971,
 170101,Argelaguer,7,49,57,112,225,
 080082,Argençola,6,34,21,67,128,
 430173,"Argentera, l'",..,..,17,38,70,
 080095,Argentona,342,1859,1587,3036,6824,
 170118,"Armentera, l'",68,113,98,232,511,
 430189,Arnes,14,71,59,69,213,
 250313,Arres,..,..,11,25,46,
 250328,Arsèguel,..,..,15,24,53,
 080109,Artés,247,1179,686,1093,3205,
 250334,Artesa de Lleida,60,274,190,312,836,
 250349,Artesa de Segre,244,682,372,550,1848,
 430192,Ascó,86,307,163,367,923,
 250365,Aspa,4,32,25,44,105,
 250371,"Avellanes i Santa Linya, les",13,64,66,79,222,
 080116,Avià,50,308,273,581,1212,
 080121,Avinyó,85,456,315,357,1213,
 170123,Avinyonet de Puigventós,49,349,244,282,924,
 080137,Avinyonet del Penedès,64,265,270,358,957,
 080155,Badalona,11743,40344,31072,39013,122172,
 089045,Badia del Vallès,623,3650,1610,1371,7254,
 080168,Bagà,70,382,242,462,1156,
 250390,Baix Pallars,10,33,39,103,185,
 250404,Balaguer,1175,3761,1858,2615,9409,
 080174,Balenyà,130,838,589,631,2188,
 080180,Balsareny,120,755,337,571,1783,
 430206,Banyeres del Penedès,126,625,462,521,1734,
 170157,Banyoles,1570,3003,2045,4091,10709,
 250411,Barbens,94,174,86,105,459,
 430213,Barberà de la Conca,14,82,73,84,253,
 082520,Barberà del Vallès,1008,5363,4990,7379,18740,
 080193,Barcelona,56960,144823,205566,523906,931255,
 250426,"Baronia de Rialb, la",5,32,31,52,120,
 170160,Bàscara,26,187,145,177,535,
 250447,Bassella,11,36,23,48,118,
 430228,Batea,115,417,177,204,913,
 250450,Bausen,..,8,..,16,30,
 080207,Begues,114,566,996,2282,3958,
