Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
25001,Abella de la Conca,8,59,22,8,51,23,16,110,45,171,89,82,0.0935672514619883,0.6432748538011696,0.2631578947368421,0.0898876404494382,0.6629213483146067,0.24719101123595505,0.0975609756097561,0.6219512195121951,0.2804878048780488
8001,Abrera,1100,4366,907,1038,4137,1072,2138,8503,1979,12620,6373,6247,0.1694136291600634,0.6737717908082409,0.1568145800316957,0.17260316962184213,0.6850776714263298,0.14231915895182803,0.16615975668320793,0.6622378741796062,0.17160236913718585
25002,Àger,26,206,90,23,163,80,49,369,170,588,322,266,0.08333333333333333,0.6275510204081632,0.2891156462585034,0.08074534161490683,0.639751552795031,0.2795031055900621,0.08646616541353383,0.6127819548872181,0.3007518796992481
25003,Agramunt,412,1860,491,422,1670,609,834,3530,1100,5464,2763,2701,0.1526354319180088,0.6460468521229868,0.20131771595900438,0.14911328266377127,0.6731813246471227,0.17770539268910604,0.15623843021103295,0.6182895223991114,0.2254720473898556
8002,Aguilar de Segarra,28,95,31,28,80,24,56,175,55,286,154,132,0.1958041958041958,0.6118881118881119,0.19230769230769232,0.18181818181818182,0.6168831168831169,0.2012987012987013,0.21212121212121213,0.6060606060606061,0.18181818181818182
17001,Agullana,70,283,92,65,279,96,135,562,188,885,445,440,0.15254237288135594,0.6350282485875707,0.21242937853107344,0.15730337078651685,0.6359550561797753,0.20674157303370785,0.14772727272727273,0.634090909090909,0.21818181818181817
8014,Aiguafreda,157,851,231,170,823,324,327,1674,555,2556,1239,1317,0.12793427230046947,0.6549295774647887,0.21713615023474178,0.12671509281678772,0.6868442292171105,0.1864406779661017,0.12908124525436598,0.6249050873196659,0.2460136674259681
43001,Aiguamúrcia,58,323,114,74,285,106,132,608,220,960,495,465,0.1375,0.6333333333333333,0.22916666666666666,0.11717171717171718,0.6525252525252525,0.23030303030303031,0.15913978494623657,0.6129032258064516,0.22795698924731184
17002,Aiguaviva,77,260,58,65,267,62,142,527,120,789,395,394,0.17997465145754118,0.6679340937896071,0.1520912547528517,0.1949367088607595,0.6582278481012658,0.1468354430379747,0.1649746192893401,0.6776649746192893,0.15736040609137056
25038,Aitona,212,853,246,174,698,310,386,1551,556,2493,1311,1182,0.15483353389490573,0.6221419975932612,0.22302446851183313,0.16170861937452327,0.6506483600305111,0.18764302059496568,0.14720812182741116,0.5905245346869712,0.2622673434856176
25004,"Alamús, els",52,257,81,48,250,85,100,507,166,773,390,383,0.129366106080207,0.6558861578266494,0.2147477360931436,0.13333333333333333,0.658974358974359,0.2076923076923077,0.12532637075718014,0.6527415143603134,0.22193211488250653
25005,Alàs i Cerc,21,90,44,22,88,57,43,178,101,322,155,167,0.13354037267080746,0.5527950310559007,0.3136645962732919,0.13548387096774195,0.5806451612903226,0.2838709677419355,0.1317365269461078,0.5269461077844312,0.3413173652694611
25006,"Albagés, l'",14,123,52,12,102,54,26,225,106,357,189,168,0.07282913165266107,0.6302521008403361,0.2969187675070028,0.07407407407407407,0.6507936507936508,0.2751322751322751,0.07142857142857142,0.6071428571428571,0.32142857142857145
17003,Albanyà,22,51,17,21,52,15,43,103,32,178,90,88,0.24157303370786518,0.5786516853932584,0.1797752808988764,0.24444444444444444,0.5666666666666667,0.18888888888888888,0.23863636363636365,0.5909090909090909,0.17045454545454544
25007,Albatàrrec,194,833,121,178,740,158,372,1573,279,2224,1148,1076,0.1672661870503597,0.7072841726618705,0.12544964028776978,0.16898954703832753,0.725609756097561,0.10540069686411149,0.1654275092936803,0.6877323420074349,0.14684014869888476
25008,Albesa,119,563,165,87,427,200,206,990,365,1561,847,714,0.13196668802049968,0.6342088404868674,0.23382447149263294,0.14049586776859505,0.6646989374262101,0.19480519480519481,0.12184873949579832,0.5980392156862745,0.2801120448179272
25009,"Albi, l'",57,214,112,40,201,125,97,415,237,749,383,366,0.1295060080106809,0.5540720961281709,0.3164218958611482,0.14882506527415143,0.5587467362924282,0.2924281984334204,0.1092896174863388,0.5491803278688525,0.34153005464480873
43002,Albinyana,194,879,221,161,774,275,355,1653,496,2504,1294,1210,0.14177316293929712,0.6601437699680511,0.19808306709265175,0.14992272024729522,0.6792890262751159,0.17078825347758886,0.13305785123966943,0.6396694214876033,0.22727272727272727
43003,"Albiol, l'",71,170,37,43,161,33,114,331,70,515,278,237,0.22135922330097088,0.6427184466019418,0.13592233009708737,0.25539568345323743,0.6115107913669064,0.13309352517985612,0.18143459915611815,0.679324894514768,0.13924050632911392
17004,Albons,47,271,89,57,254,80,104,525,169,798,407,391,0.13032581453634084,0.6578947368421053,0.21177944862155387,0.11547911547911548,0.6658476658476659,0.21867321867321868,0.14578005115089515,0.649616368286445,0.20460358056265984
